"","year","vote","race","language","interview","gender","turnout"
"1","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","0. All personal","1. Male","3. Voted (registered)"
"2","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","1. Not registered, and did not vote"
"3","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"4","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"5","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"6","2000","1. Democrat","2. Black non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"7","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","2. Registered, but did not vote"
"8","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"9","2000","1. Democrat","5. Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"10","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"11","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"12","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","2. Registered, but did not vote"
"13","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"14","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"15","2000","2. Republican","5. Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"16","2000","7. Did not vote or voted but not for president (exc.1972)","5. Hispanic (1966-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"17","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"18","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"19","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"20","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"21","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"22","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"23","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"24","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"25","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"26","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"27","2000","1. Democrat","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"28","2000","2. Republican","6. Other or multiple races, non-Hispanic (1968-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
"29","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"30","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","2. Registered, but did not vote"
"31","2000","7. Did not vote or voted but not for president (exc.1972)","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","2. Registered, but did not vote"
"32","2000","1. Democrat","2. Black non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","2. Female","3. Voted (registered)"
"33","2000","2. Republican","1. White non-Hispanic (1948-2012)","0. IW conducted entirely in English; 2008,2012: beginning language","3. All telephone","1. Male","3. Voted (registered)"
