"","year","vote","work","job","outofwork","turnout"
"1","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"2","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"3","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"4","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"5","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"6","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"7","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"8","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"9","2004","1. Democrat","1. Working now","1. A lot","5. No","3. Voted (registered)"
"10","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"11","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"12","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"13","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"14","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"15","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","1. Not registered, and did not vote"
"16","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"17","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"18","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"19","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"20","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"21","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"22","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","2. Registered, but did not vote"
"23","2004","2. Republican","7. Homemaker","5. Not much at all","5. No","3. Voted (registered)"
"24","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"25","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"26","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"27","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"28","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"29","2004","2. Republican","1. Working now","1. A lot","1. Yes","3. Voted (registered)"
"30","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"31","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"32","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"33","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"34","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"35","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"36","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"37","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"38","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"39","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"40","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"41","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"42","2004","1. Democrat","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
"43","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"44","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"45","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"46","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"47","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"48","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"49","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","5. No","1. Not registered, and did not vote"
"50","2004","1. Democrat","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"51","2004","7. Did not vote or voted but not for president (exc.1972)","1. Working now","5. Not much at all","1. Yes","1. Not registered, and did not vote"
"52","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"53","2004","2. Republican","1. Working now","5. Not much at all","5. No","3. Voted (registered)"
"54","2004","2. Republican","1. Working now","1. A lot","5. No","3. Voted (registered)"
"55","2004","1. Democrat","1. Working now","5. Not much at all","1. Yes","3. Voted (registered)"
"56","2004","1. Democrat","5. Retired","5. Not much at all","5. No","3. Voted (registered)"
"57","2004","2. Republican","1. Working now","3. Somewhat","5. No","3. Voted (registered)"
